id;nombre_producto;ingredientes;calorias;imagen;imagen_content_type;precio;existencias
1;actitud;Dinánmico;81998;../fake-data/blob/hipster.png;image/png;32882;20622
2;Buckinghamshire Morado;online;98594;../fake-data/blob/hipster.png;image/png;85865;14379
3;Rústico SDD;deposit;33378;../fake-data/blob/hipster.png;image/png;71714;49251
4;Dinánmico Camino Genérico;XSS virtual;374;../fake-data/blob/hipster.png;image/png;39867;70235
5;Gabón Guadalupe;Berkshire;76382;../fake-data/blob/hipster.png;image/png;67494;84731
6;Azul Profundo didactica;Gris Innovador;28242;../fake-data/blob/hipster.png;image/png;73188;78283
7;synthesizing Extrarradio;innovative Seguro;44740;../fake-data/blob/hipster.png;image/png;92525;63316
8;metódica real-time;de;28148;../fake-data/blob/hipster.png;image/png;30693;18297
9;Deportes quantifying state;Estratega;70490;../fake-data/blob/hipster.png;image/png;90042;43364
10;cross-platform;world-class Gorro optimize;68489;../fake-data/blob/hipster.png;image/png;70562;95011
